url,label
http://yah00.com,1
yah00.com,1
https://accounts.google.com.url-redirect-path.xyz/,1
http://192.168.1.154/login/apple,1
https://www.apple.com/in/,0
https://fexmor.antip2th5ub.ru/lhe1wfaf,1
https://hofqen.b2ckfo0t.ru/6yvg02r6,1
https://sirvax.b2ckfo0t.ru/f21x6xhe,1
http://219.155.225.2:41730/bin.sh,1
https://mudlen.b2ckfo0t.ru/bwp01x1n,1
https://mudlen.b2ckfo0t.ru/bwp01x1n,1
https://www.apple.com/in/store?afid=p240%7Cgo~cmp-11116556120~adg-109516736379~ad-780589622285_kwd-10778630~dev-c~ext-~prd-~mca-~nt-search&cid=aos-in-kwgo-brand--,0
https://example.com,0
